step,training_loss,validation_loss
1,15.1967,
2,14.6667,
3,16.1435,
4,14.8392,
5,15.1822,
6,14.6601,
7,9.4552,
8,4.4501,
9,1.6779,
10,1.1867,
11,1.21,
12,1.1688,
13,1.0605,
14,1.0964,
15,0.873,
16,0.9661,
17,0.8944,
18,0.9569,
19,0.7394,
20,0.919,
21,0.7794,
22,0.6236,
23,0.7073,
24,0.7598,
25,0.5963,
26,0.7329,
27,0.7325,
28,0.4903,
29,0.54,
30,0.5837,
31,0.6301,
32,0.5873,
33,0.4897,
34,0.4661,
35,0.5529,
36,0.5608,
37,0.4712,
38,0.5236,
39,0.537,
40,0.6836,
41,0.4753,
42,0.4865,
43,0.3108,
44,0.5022,
45,0.4411,
46,0.4005,
47,0.4627,
48,0.3709,
49,0.4233,
50,0.5384,
51,0.3667,
52,0.3777,
53,0.5132,
54,0.397,
55,0.3359,
56,0.2991,
57,0.3265,
58,0.3131,
59,0.2659,
60,0.4524,
61,0.389,
62,0.4794,
63,0.5129,
64,0.1197,0.3862014710903168
65,0.4526,
66,0.3852,
67,0.3169,
68,0.3576,
69,0.3343,
70,0.322,
71,0.2788,
72,0.3223,
73,0.2784,
74,0.3751,
75,0.2931,
76,0.4517,
77,0.3836,
78,0.2814,
79,0.4045,
80,0.2521,
81,0.2958,
82,0.4272,
83,0.4042,
84,0.3664,
85,0.3733,
86,0.2953,
87,0.3777,
88,0.3863,
89,0.2316,
90,0.3084,
91,0.228,
92,0.275,
93,0.331,
94,0.2211,
95,0.2272,
96,0.2886,
97,0.3216,
98,0.3466,
99,0.3543,
100,0.3906,
101,0.3557,
102,0.3101,
103,0.3343,
104,0.4309,
105,0.3408,
106,0.253,
107,0.3728,
108,0.3138,
109,0.3775,
110,0.2526,
111,0.2479,
112,0.3764,
113,0.295,
114,0.3353,
115,0.2627,
116,0.3746,
117,0.2469,
118,0.3549,
119,0.3251,
120,0.2085,
121,0.2391,
122,0.2419,
123,0.3371,
124,0.3274,
125,0.3156,
126,0.2837,
127,0.2428,
128,0.2068,0.3193695545196533
129,0.3284,
130,0.1608,
131,0.2402,
132,0.2647,
133,0.3632,
134,0.3203,
135,0.3276,
136,0.2016,
137,0.2314,
138,0.175,
139,0.2592,
140,0.2005,
141,0.2939,
142,0.3085,
143,0.1765,
144,0.175,
145,0.3181,
146,0.2133,
147,0.2413,
148,0.2112,
149,0.2834,
150,0.2327,
151,0.2861,
152,0.2254,
153,0.1526,
154,0.2826,
155,0.2439,
156,0.2603,
157,0.1881,
158,0.297,
159,0.3299,
160,0.2424,
161,0.241,
162,0.1616,
163,0.2614,
164,0.1779,
165,0.284,
166,0.2208,
167,0.2717,
168,0.3039,
169,0.194,
170,0.3092,
171,0.3103,
172,0.1894,
173,0.251,
174,0.2515,
175,0.257,
176,0.243,
177,0.292,
178,0.3101,
179,0.2952,
180,0.1819,
181,0.149,
182,0.2261,
183,0.294,
184,0.3276,
185,0.1391,
186,0.1665,
187,0.2301,
188,0.235,
189,0.2347,
190,0.1751,
191,0.2604,
192,0.1795,0.2962931990623474
193,0.1717,
194,0.244,
195,0.2638,
196,0.2374,
197,0.1416,
198,0.2589,
199,0.3166,
200,0.3416,
201,0.2075,
202,0.1692,
203,0.1375,
204,0.2463,
205,0.1191,
206,0.2283,
207,0.1948,
208,0.1977,
209,0.1571,
210,0.1246,
211,0.169,
212,0.1197,
213,0.1426,
214,0.1538,
215,0.2024,
216,0.1732,
217,0.1523,
218,0.2287,
219,0.162,
220,0.1301,
221,0.1554,
222,0.1457,
223,0.1646,
224,0.1828,
225,0.1602,
226,0.1559,
227,0.1888,
228,0.1585,
229,0.0882,
230,0.1765,
231,0.0891,
232,0.1347,
233,0.1879,
234,0.2101,
235,0.2126,
236,0.1766,
237,0.1849,
238,0.096,
239,0.1655,
240,0.1291,
241,0.171,
242,0.1583,
243,0.1823,
244,0.2604,
245,0.2224,
246,0.1771,
247,0.1282,
248,0.2681,
249,0.1389,
250,0.1215,
251,0.1827,
252,0.1844,
253,0.0651,
254,0.2104,
255,0.1496,
256,0.0511,0.23694242537021637
257,0.1022,
258,0.1395,
259,0.0765,
260,0.1167,
261,0.1296,
262,0.1908,
263,0.1249,
264,0.0635,
265,0.1449,
266,0.0689,
267,0.1028,
268,0.089,
269,0.1446,
270,0.1726,
271,0.1169,
272,0.1255,
273,0.0655,
274,0.0816,
275,0.1272,
276,0.0651,
277,0.1774,
278,0.0978,
279,0.0966,
280,0.149,
281,0.1777,
282,0.0672,
283,0.132,
284,0.1326,
285,0.0786,
286,0.1475,
287,0.0672,
288,0.1157,
289,0.0717,
290,0.0642,
291,0.0946,
292,0.1362,
293,0.1097,
294,0.0914,
295,0.0892,
296,0.1152,
297,0.1537,
298,0.183,
299,0.1316,
300,0.1455,
301,0.1043,
302,0.074,
303,0.1001,
304,0.2177,
305,0.1498,
306,0.169,
307,0.1259,
308,0.1326,
309,0.0898,
310,0.0558,
311,0.1515,
312,0.1336,
313,0.1898,
314,0.0526,
315,0.1222,
316,0.1564,
317,0.1102,
318,0.1094,
319,0.1694,
320,0.038,0.22777973115444183
321,0.0662,
322,0.099,
323,0.1297,
324,0.1371,
325,0.0745,
326,0.1189,
327,0.1061,
328,0.0653,
329,0.0864,
330,0.0833,
331,0.1229,
332,0.112,
333,0.1176,
334,0.0753,
335,0.1122,
336,0.0679,
337,0.0923,
338,0.1172,
339,0.1075,
340,0.0935,
341,0.098,
342,0.0758,
343,0.0973,
344,0.0806,
345,0.0749,
346,0.0783,
347,0.0892,
348,0.0937,
349,0.1033,
350,0.1075,
351,0.0585,
352,0.1652,
353,0.074,
354,0.084,
355,0.0727,
356,0.102,
357,0.1081,
358,0.0852,
359,0.0914,
360,0.1208,
361,0.1219,
362,0.0863,
363,0.0719,
364,0.1555,
365,0.0541,
366,0.1296,
367,0.0812,
368,0.0874,
369,0.0514,
370,0.1061,
371,0.085,
372,0.0737,
373,0.0361,
374,0.0725,
375,0.1442,
376,0.1224,
377,0.0894,
378,0.1026,0.2329818308353424
