step,training_loss,validation_loss
383,0.0821,
384,0.0286,0.2278178632259369
385,0.0432,
386,0.0921,
387,0.0641,
388,0.0967,
389,0.1046,
390,0.0852,
391,0.053,
392,0.0667,
393,0.0554,
394,0.0573,
395,0.0416,
396,0.0768,
397,0.0464,
398,0.1087,
399,0.0717,
400,0.0676,
401,0.055,
402,0.0551,
403,0.0617,
404,0.0643,
405,0.0783,
406,0.071,
407,0.0786,
408,0.0631,
409,0.0985,
410,0.0871,
411,0.0452,
412,0.0494,
413,0.0792,
414,0.0394,
415,0.0954,
416,0.0705,
417,0.1038,
418,0.084,
419,0.0296,
420,0.0843,
421,0.068,
422,0.1071,
423,0.0487,
424,0.0856,
425,0.061,
426,0.1059,
427,0.039,
428,0.0594,
429,0.0504,
430,0.0486,
431,0.0712,
432,0.0798,
433,0.0578,
434,0.0503,
435,0.039,
436,0.0722,
437,0.0761,
438,0.0648,
439,0.1032,
440,0.0864,
441,0.053,
442,0.0469,
443,0.0601,
444,0.0876,
445,0.0657,
446,0.101,
447,0.0579,
448,0.0427,0.2377084195613861
449,0.0404,
450,0.067,
451,0.0706,
452,0.034,
453,0.0643,
454,0.089,
455,0.044,
456,0.056,
457,0.0483,
458,0.0725,
459,0.0357,
460,0.0738,
461,0.0687,
462,0.0572,
463,0.0435,
464,0.0511,
465,0.0565,
466,0.0299,
467,0.0794,
468,0.0507,
469,0.0518,
470,0.0421,
471,0.0536,
472,0.0417,
473,0.0723,
474,0.074,
475,0.0847,
476,0.0423,
477,0.0771,
478,0.0367,
479,0.0558,
480,0.0331,
481,0.0433,
482,0.0572,
483,0.0779,
484,0.0843,
485,0.0692,
486,0.0703,
487,0.0557,
488,0.0487,
489,0.0385,
490,0.0481,
491,0.046,
492,0.0529,
493,0.0881,
494,0.0885,
495,0.0417,
496,0.0743,
497,0.0801,
498,0.0442,
499,0.0718,
500,0.0585,
501,0.0558,
502,0.0592,
503,0.0447,
504,0.046,0.2484494000673294
