step,training_loss,validation_loss
1,15.3434,
2,14.6708,
3,15.768,
4,14.7788,
5,14.8392,
6,14.6601,
7,9.6048,
8,4.6512,
9,1.7987,
10,1.1908,
11,1.2354,
12,1.2444,
13,1.1014,
14,1.156,
15,0.8957,
16,1.0121,
17,0.9046,
18,0.9942,
19,0.7209,
20,0.9846,
21,0.8662,
22,0.6262,
23,0.7246,
24,0.8067,
25,0.5882,
26,0.7557,
27,0.7363,
28,0.5002,
29,0.5926,
30,0.5865,
31,0.6925,
32,0.5923,
33,0.4991,
34,0.5047,
35,0.5849,
36,0.5409,
37,0.5051,
38,0.5427,
39,0.5259,
40,0.6554,
41,0.5356,
42,0.4543,
43,0.3088,
44,0.4429,
45,0.4259,
46,0.4266,
47,0.4148,
48,0.3447,
49,0.4073,
50,0.5079,
51,0.389,
52,0.3986,
53,0.5014,
54,0.403,
55,0.3348,
56,0.3002,
57,0.3313,
58,0.3454,
59,0.2584,
60,0.3609,
61,0.3678,
62,0.5024,
63,0.4937,
64,0.1186,0.3847265839576721
65,0.411,
66,0.4048,
67,0.2885,
68,0.3542,
69,0.3279,
70,0.3446,
71,0.2789,
72,0.3634,
73,0.2676,
74,0.3667,
75,0.304,
76,0.41,
77,0.3101,
78,0.3118,
79,0.3616,
80,0.2498,
81,0.286,
82,0.4299,
83,0.4037,
84,0.38,
85,0.3465,
86,0.2706,
87,0.3974,
88,0.3857,
89,0.2412,
90,0.3192,
91,0.2153,
92,0.2536,
93,0.3103,
94,0.2225,
95,0.2107,
96,0.2812,
97,0.3027,
98,0.3524,
99,0.3905,
100,0.3948,
101,0.3272,
102,0.2986,
103,0.3081,
104,0.4288,
105,0.2919,
106,0.24,
107,0.2817,
108,0.303,
109,0.4259,
110,0.251,
111,0.3007,
112,0.335,
113,0.3017,
114,0.3511,
115,0.231,
116,0.3997,
117,0.2615,
118,0.3534,
119,0.2921,
120,0.2311,
121,0.2424,
122,0.2804,
123,0.3189,
124,0.3162,
125,0.2553,
126,0.2552,
127,0.2417,
128,0.2117,0.31933701038360596
129,0.3265,
130,0.1596,
131,0.2425,
132,0.2939,
133,0.3576,
134,0.2957,
135,0.3099,
136,0.1866,
137,0.2298,
138,0.1822,
139,0.2331,
140,0.2226,
141,0.3408,
142,0.2766,
143,0.1791,
144,0.143,
145,0.273,
146,0.1923,
147,0.2069,
148,0.2061,
149,0.3177,
150,0.2123,
151,0.2544,
152,0.1858,
153,0.1602,
154,0.3191,
155,0.2486,
156,0.202,
157,0.178,
158,0.2567,
159,0.3067,
160,0.2744,
161,0.2632,
162,0.1708,
163,0.2461,
164,0.1848,
165,0.2661,
166,0.2131,
167,0.2216,
168,0.2863,
169,0.1715,
170,0.3044,
171,0.2968,
172,0.2051,
173,0.2463,
174,0.2162,
175,0.1958,
176,0.2835,
177,0.3056,
178,0.324,
179,0.3749,
180,0.1617,
181,0.1299,
182,0.2026,
183,0.3148,
184,0.304,
185,0.1363,
186,0.1576,
187,0.228,
188,0.22,
189,0.2208,
190,0.1857,
191,0.2429,
192,0.1406,0.2671833634376526
193,0.1707,
194,0.1998,
195,0.2128,
196,0.2321,
197,0.107,
198,0.232,
199,0.2209,
200,0.3216,
201,0.143,
202,0.1246,
203,0.1062,
204,0.2075,
205,0.0733,
206,0.2012,
207,0.1801,
208,0.1659,
209,0.1359,
210,0.0777,
211,0.1093,
212,0.0975,
213,0.1155,
214,0.1477,
215,0.1398,
216,0.1247,
217,0.1699,
218,0.1805,
219,0.1447,
220,0.1008,
221,0.115,
222,0.131,
223,0.1343,
224,0.1456,
225,0.131,
226,0.1324,
227,0.1789,
228,0.1284,
229,0.0662,
230,0.1669,
231,0.0626,
232,0.1077,
233,0.1589,
234,0.1492,
235,0.1832,
236,0.0974,
237,0.1984,
238,0.083,
239,0.1533,
240,0.1146,
241,0.1676,
242,0.1244,
243,0.1752,
244,0.2018,
245,0.1403,
246,0.1983,
247,0.1632,
248,0.2732,
249,0.1163,
250,0.1373,
251,0.1361,
252,0.15,
253,0.0574,
254,0.1739,
255,0.1455,
256,0.0418,0.23028424382209778
257,0.1093,
258,0.1471,
259,0.0628,
260,0.1425,
261,0.1472,
262,0.125,
263,0.0973,
264,0.0601,
265,0.0914,
266,0.0564,
267,0.1092,
268,0.0813,
269,0.0937,
270,0.1692,
271,0.1107,
272,0.1449,
273,0.0487,
274,0.0652,
275,0.1087,
276,0.0509,
277,0.1642,
278,0.0937,
279,0.0768,
280,0.1629,
281,0.1219,
282,0.0511,
283,0.1461,
284,0.1182,
285,0.0786,
286,0.1238,
287,0.0553,
288,0.1006,
289,0.0627,
290,0.0553,
291,0.0893,
292,0.0973,
293,0.1037,
294,0.0901,
295,0.0987,
296,0.0938,
297,0.1363,
298,0.1726,
299,0.1107,
300,0.1603,
301,0.0878,
302,0.0689,
303,0.0872,
304,0.2253,
305,0.1122,
306,0.1889,
307,0.1338,
308,0.0944,
309,0.0774,
310,0.067,
311,0.1506,
312,0.1303,
313,0.1585,
314,0.0597,
315,0.1145,
316,0.1154,
317,0.0808,
318,0.1163,
319,0.1744,
320,0.0392,0.22484645247459412
321,0.0752,
322,0.063,
323,0.1045,
324,0.1134,
325,0.059,
326,0.103,
327,0.0902,
328,0.0535,
329,0.0828,
330,0.0712,
331,0.0809,
332,0.0927,
333,0.0915,
334,0.0585,
335,0.0944,
336,0.0568,
337,0.071,
338,0.1091,
339,0.1189,
340,0.1264,
341,0.115,
342,0.067,
343,0.0822,
344,0.0788,
345,0.0829,
346,0.0789,
347,0.0975,
348,0.0955,
349,0.0966,
350,0.1083,
351,0.0442,
352,0.1229,
353,0.0769,
354,0.0757,
355,0.0839,
356,0.0668,
357,0.0885,
358,0.0565,
359,0.1106,
360,0.0767,
361,0.1328,
362,0.1113,
363,0.057,
364,0.1251,
365,0.0572,
366,0.0795,
367,0.0695,
368,0.0619,
369,0.0499,
370,0.1063,
371,0.0787,
372,0.0576,
373,0.0329,
374,0.099,
375,0.1111,
376,0.1534,
377,0.1046,
378,0.1027,
379,0.0724,
380,0.0431,
381,0.1149,
382,0.0684,
